2563032389,	-77.8951, 224.1532, -85.0157,  -3.8328,  -0.7815, -15.6533,		-35.7763, 219.6172,  16.1503,   0.0461,   2.6894,   0.0224,  -1.5251,   0.0192,   0.3984,		-56.5863, 210.6500,  69.5677,	-56.5863, 210.6500,  69.5677,	-87.4161, 198.3595,  36.0927,	-112.1622, 192.5927,  16.3169,	-133.5437, 194.4298,  11.0341,	-49.1017, 229.6960,  60.4955,	-58.9194, 222.3124,  -7.8847,	-68.6165, 224.8734, -47.1966,	-74.0623, 224.9347, -69.3624,	-77.8951, 224.1532, -85.0157,	-37.8678, 231.5297,  58.1194,	-38.1671, 224.7322,  -7.4131,	-28.4326, 224.4802, -51.8769,	-22.9429, 222.1173, -78.0571,	-19.4737, 219.3442, -95.2383,	-26.3147, 230.7866,  57.3648,	-17.6740, 224.8264,  -0.8499,	 -4.6982, 224.4453, -40.9961,	  3.0256, 222.4103, -65.9070,	  8.0351, 220.0325, -82.6571,	-15.0113, 223.8390,  59.5098,	  0.4702, 220.7286,   7.0783,	 18.8570, 221.8420, -20.7723,	 28.7283, 221.3522, -36.3757,	 37.1771, 220.0954, -50.2318,	  1.0000,	1
2563041041,	-77.9031, 224.1004, -85.0146,  -3.8304,  -0.7899, -15.6534,		-35.7924, 219.6262,  16.1539,   0.0463,   2.6921,   0.0223,  -1.5250,   0.0193,   0.3990,		-56.5979, 210.6478,  69.5713,	-56.5979, 210.6478,  69.5713,	-87.4276, 198.3590,  36.0955,	-112.1760, 192.5942,  16.3221,	-133.5580, 194.4295,  11.0403,	-49.1159, 229.6961,  60.5018,	-58.9373, 222.3231,  -7.8790,	-68.6298, 224.8456, -47.1945,	-74.0726, 224.8904, -69.3612,	-77.9031, 224.1004, -85.0146,	-37.8823, 231.5314,  58.1252,	-38.1854, 224.7449,  -7.4084,	-28.4485, 224.4704, -51.8716,	-22.9569, 222.0981, -78.0505,	-19.4861, 219.3212, -95.2308,	-26.3292, 230.7896,  57.3698,	-17.6918, 224.8402,  -0.8466,	 -4.7183, 224.4121, -40.9930,	  3.0051, 222.3559, -65.9023,	  8.0152, 219.9688, -82.6509,	-15.0249, 223.8429,  59.5128,	  0.4534, 220.7430,   7.0797,	 18.8378, 221.8385, -20.7732,	 28.7086, 221.3426, -36.3766,	 37.1576, 220.0834, -50.2324,	  1.0000,	1
2563049725,	-77.9093, 224.0571, -85.0140,  -3.8280,  -0.7990, -15.6536,		-35.8075, 219.6349,  16.1568,   0.0464,   2.6946,   0.0223,  -1.5248,   0.0194,   0.3994,		-56.6090, 210.6452,  69.5737,	-56.6090, 210.6452,  69.5737,	-87.4349, 198.3588,  36.0937,	-112.1913, 192.6026,  16.3278,	-133.5740, 194.4388,  11.0494,	-49.1294, 229.6959,  60.5071,	-58.9541, 222.3337,  -7.8743,	-68.6417, 224.8262, -47.1930,	-74.0813, 224.8561, -69.3604,	-77.9093, 224.0571, -85.0140,	-37.8961, 231.5327,  58.1302,	-38.2023, 224.7575,  -7.4046,	-28.4619, 224.4411, -51.8667,	-22.9685, 222.0446, -78.0430,	-19.4965, 219.2526, -95.2207,	-26.3430, 230.7921,  57.3739,	-17.7083, 224.8537,  -0.8439,	 -4.7381, 224.3928, -40.9911,	  2.9838, 222.3215, -65.8996,	  7.9935, 219.9273, -82.6472,	-15.0378, 223.8462,  59.5152,	  0.4377, 220.7568,   7.0806,	 18.8199, 221.8338, -20.7744,	 28.6905, 221.3322, -36.3778,	 37.1405, 220.0714, -50.2329,	  1.0000,	1
2563058414,	-77.9103, 224.0228, -85.0153,  -3.8246,  -0.8052, -15.6541,		-35.8225, 219.6431,  16.1591,   0.0466,   2.6971,   0.0222,  -1.5246,   0.0195,   0.4002,		-56.6204, 210.6413,  69.5754,	-56.6204, 210.6413,  69.5754,	-87.4422, 198.3593,  36.0899,	-112.2057, 192.6125,  16.3301,	-133.5898, 194.4525,  11.0589,	-49.1436, 229.6945,  60.5118,	-58.9705, 222.3434,  -7.8705,	-68.6507, 224.8098, -47.1926,	-74.0858, 224.8280, -69.3612,	-77.9103, 224.0228, -85.0153,	-37.9106, 231.5330,  58.1348,	-38.2190, 224.7696,  -7.4013,	-28.4782, 224.4282, -51.8631,	-22.9842, 222.0194, -78.0381,	-19.5117, 219.2209, -95.2146,	-26.3574, 230.7940,  57.3778,	-17.7248, 224.8671,  -0.8415,	 -4.7555, 224.3869, -40.9887,	  2.9672, 222.3110, -65.8966,	  7.9783, 219.9181, -82.6441,	-15.0514, 223.8490,  59.5173,	  0.4221, 220.7710,   7.0814,	 18.8014, 221.8337, -20.7761,	 28.6711, 221.3276, -36.3799,	 37.1211, 220.0656, -50.2349,	  1.0000,	1
2563067069,	-77.9062, 223.9684, -85.0182,  -3.8202,  -0.8148, -15.6547,		-35.8364, 219.6494,  16.1612,   0.0468,   2.6995,   0.0222,  -1.5244,   0.0197,   0.4012,		-56.6308, 210.6350,  69.5768,	-56.6308, 210.6350,  69.5768,	-87.4508, 198.3564,  36.0884,	-112.2137, 192.6110,  16.3275,	-133.5983, 194.4500,  11.0578,	-49.1569, 229.6909,  60.5164,	-58.9858, 222.3509,  -7.8669,	-68.6567, 224.7817, -47.1935,	-74.0860, 224.7832, -69.3635,	-77.9062, 223.9684, -85.0182,	-37.9244, 231.5314,  58.1392,	-38.2346, 224.7799,  -7.3981,	-28.4906, 224.4160, -51.8590,	-22.9947, 221.9948, -78.0325,	-19.5207, 219.1888, -95.2075,	-26.3711, 230.7941,  57.3816,	-17.7401, 224.8790,  -0.8392,	 -4.7716, 224.3852, -40.9865,	  2.9518, 222.3069, -65.8940,	  7.9640, 219.9158, -82.6413,	-15.0640, 223.8503,  59.5193,	  0.4077, 220.7839,   7.0823,	 18.7868, 221.8338, -20.7759,	 28.6569, 221.3230, -36.3793,	 37.1077, 220.0589, -50.2335,	  1.0000,	1
2563075754,	-77.9118, 223.9104, -85.0192,  -3.8173,  -0.8268, -15.6547,		-35.8530, 219.6563,  16.1632,   0.0470,   2.7020,   0.0221,  -1.5242,   0.0198,   0.4024,		-56.6437, 210.6281,  69.5779,	-56.6437, 210.6281,  69.5779,	-87.4579, 198.3546,  36.0823,	-112.2155, 192.6095,  16.3146,	-133.5981, 194.4417,  11.0345,	-49.1731, 229.6869,  60.5209,	-59.0038, 222.3591,  -7.8634,	-68.6690, 224.7543, -47.1936,	-74.0945, 224.7372, -69.3645,	-77.9118, 223.9104, -85.0192,	-37.9409, 231.5296,  58.1436,	-38.2529, 224.7911,  -7.3949,	-28.5052, 224.3971, -51.8548,	-23.0074, 221.9554, -78.0260,	-19.5324, 219.1348, -95.1984,	-26.3876, 230.7942,  57.3854,	-17.7582, 224.8920,  -0.8369,	 -4.7905, 224.3901, -40.9844,	  2.9329, 222.3095, -65.8917,	  7.9457, 219.9186, -82.6389,	-15.0793, 223.8517,  59.5213,	  0.3906, 220.7981,   7.0830,	 18.7703, 221.8454, -20.7749,	 28.6417, 221.3365, -36.3776,	 37.0946, 220.0767, -50.2309,	  1.0000,	1
2563084634,	-77.9274, 223.9014, -85.0175,  -3.8164,  -0.8277, -15.6549,		-35.8705, 219.6630,  16.1649,   0.0472,   2.7046,   0.0221,  -1.5240,   0.0200,   0.4035,		-56.6578, 210.6200,  69.5784,	-56.6578, 210.6200,  69.5784,	-87.4540, 198.3464,  36.0664,	-112.1992, 192.5973,  16.2844,	-133.5788, 194.4201,  10.9887,	-49.1905, 229.6820,  60.5253,	-59.0227, 222.3674,  -7.8602,	-68.6866, 224.7503, -47.1914,	-74.1110, 224.7291, -69.3626,	-77.9274, 223.9014, -85.0175,	-37.9586, 231.5269,  58.1480,	-38.2722, 224.8026,  -7.3920,	-28.5172, 224.3865, -51.8501,	-23.0151, 221.9320, -78.0192,	-19.5372, 219.1034, -95.1897,	-26.4052, 230.7934,  57.3892,	-17.7772, 224.9051,  -0.8348,	 -4.8086, 224.3931, -40.9818,	  2.9151, 222.3048, -65.8884,	  7.9279, 219.9081, -82.6348,	-15.0958, 223.8522,  59.5231,	  0.3725, 220.8123,   7.0835,	 18.7524, 221.8567, -20.7744,	 28.6244, 221.3483, -36.3766,	 37.0785, 220.0905, -50.2295,	  1.0000,	1
2563093105,	-77.9402, 223.8849, -85.0154,  -3.8153,  -0.8309, -15.6550,		-35.8861, 219.6700,  16.1672,   0.0474,   2.7072,   0.0220,  -1.5238,   0.0201,   0.4039,		-56.6698, 210.6138,  69.5799,	-56.6698, 210.6138,  69.5799,	-87.4590, 198.3458,  36.0592,	-112.2037, 192.6020,  16.2751,	-133.5823, 194.4222,  10.9747,	-49.2052, 229.6784,  60.5303,	-59.0397, 222.3766,  -7.8562,	-68.7018, 224.7436, -47.1889,	-74.1249, 224.7159, -69.3604,	-77.9402, 223.8849, -85.0154,	-37.9737, 231.5251,  58.1528,	-38.2895, 224.8140,  -7.3886,	-28.5325, 224.3823, -51.8461,	-23.0295, 221.9156, -78.0138,	-19.5513, 219.0776, -95.1827,	-26.4202, 230.7932,  57.3933,	-17.7942, 224.9177,  -0.8323,	 -4.8241, 224.3920, -40.9787,	  2.9011, 222.2988, -65.8843,	  7.9154, 219.9009, -82.6301,	-15.1099, 223.8528,  59.5252,	  0.3564, 220.8253,   7.0843,	 18.7352, 221.8686, -20.7742,	 28.6075, 221.3623, -36.3764,	 37.0624, 220.1083, -50.2291,	  1.0000,	1
2563101755,	-77.9510, 223.8745, -85.0156,  -3.8144,  -0.8328, -15.6551,		-35.8991, 219.6780,  16.1672,   0.0476,   2.7094,   0.0220,  -1.5236,   0.0202,   0.4042,		-56.6801, 210.6091,  69.5788,	-56.6801, 210.6091,  69.5788,	-87.4640, 198.3512,  36.0496,	-112.2110, 192.6174,  16.2655,	-133.5885, 194.4366,  10.9603,	-49.2176, 229.6762,  60.5327,	-59.0538, 222.3870,  -7.8549,	-68.7145, 224.7402, -47.1888,	-74.1365, 224.7073, -69.3605,	-77.9510, 223.8745, -85.0156,	-37.9864, 231.5245,  58.1552,	-38.3038, 224.8265,  -7.3875,	-28.5420, 224.3746, -51.8437,	-23.0373, 221.8874, -78.0092,	-19.5587, 219.0315, -95.1750,	-26.4328, 230.7939,  57.3951,	-17.8082, 224.9308,  -0.8318,	 -4.8375, 224.4013, -40.9779,	  2.8883, 222.3058, -65.8833,	  7.9030, 219.9066, -82.6287,	-15.1218, 223.8542,  59.5254,	  0.3430, 220.8387,   7.0833,	 18.7203, 221.8757, -20.7765,	 28.5923, 221.3683, -36.3788,	 37.0475, 220.1153, -50.2314,	  1.0000,	1
2563110420,	-77.9584, 223.8338, -85.0171,  -3.8130,  -0.8442, -15.6549,		-35.9109, 219.6851,  16.1665,   0.0478,   2.7118,   0.0219,  -1.5234,   0.0203,   0.4045,		-56.6891, 210.6034,  69.5770,	-56.6891, 210.6034,  69.5770,	-87.4696, 198.3550,  36.0413,	-112.2194, 192.6301,  16.2580,	-133.5956, 194.4466,  10.9467,	-49.2289, 229.6731,  60.5345,	-59.0668, 222.3965,  -7.8542,	-68.7251, 224.7260, -47.1901,	-74.1455, 224.6780, -69.3622,	-77.9584, 223.8338, -85.0171,	-37.9979, 231.5231,  58.1569,	-38.3170, 224.8380,  -7.3871,	-28.5551, 224.3737, -51.8432,	-23.0505, 221.8777, -78.0078,	-19.5721, 219.0153, -95.1726,	-26.4443, 230.7938,  57.3963,	-17.8212, 224.9432,  -0.8322,	 -4.8501, 224.4178, -40.9782,	  2.8763, 222.3267, -65.8837,	  7.8917, 219.9313, -82.6294,	-15.1325, 223.8548,  59.5247,	  0.3307, 220.8514,   7.0815,	 18.7083, 221.8844, -20.7782,	 28.5811, 221.3770, -36.3801,	 37.0376, 220.1258, -50.2320,	  1.0000,	1
