0, -0.240000, 0.260000, -0.350000, -0.105556, 0.022222, 0.287778, 3.120000, 1.320000, 9.200000, 194.687500, 18.500000, -8.187500, -0.310000, 0.180000, -0.270000, -0.208889, -0.127778, 0.172222, -1.380000, -7.960000, 5.550000, 194.687500, 18.500000, -8.187500
14, -0.050000, 0.650000, -0.610000, -0.147778, 0.067778, 0.287778, 3.110000, 1.300000, 9.200000, 194.562500, 18.500000, -8.062500, -0.220000, 0.770000, 0.030000, -0.237778, -0.065556, 0.171111, -1.380000, -7.970000, 5.530000, 194.375000, 18.500000, -7.937500
32, 0.090000, 0.940000, -0.070000, -0.197778, 0.118889, 0.307778, 3.100000, 1.260000, 9.210000, 194.250000, 18.437500, -7.750000, -0.040000, 0.040000, 0.900000, -0.242222, -0.087778, 0.264444, -1.410000, -7.990000, 5.500000, 194.062500, 18.375000, -7.562500
51, 0.330000, 0.960000, -0.370000, -0.131111, 0.125556, 0.354444, 3.090000, 1.200000, 9.220000, 193.875000, 18.375000, -7.437500, 0.170000, 0.320000, 1.020000, -0.211111, -0.113333, 0.245556, -1.440000, -8.000000, 5.470000, 193.687500, 18.312500, -7.312500
67, 0.310000, 1.580000, -0.450000, -0.084444, 0.146667, 0.367778, 3.070000, 1.170000, 9.230000, 193.500000, 18.250000, -7.187500, 0.280000, 1.580000, 1.420000, -0.192222, -0.176667, 0.265556, -1.450000, -8.010000, 5.460000, 193.500000, 18.250000, -7.187500
88, 0.360000, 2.620000, -0.780000, -0.068889, 0.088889, 0.528889, 3.060000, 1.130000, 9.240000, 192.937500, 18.187500, -6.937500, 0.420000, 1.730000, 1.320000, -0.317778, -0.274444, 0.404444, -1.480000, -8.030000, 5.420000, 192.937500, 18.187500, -6.937500
108, 0.470000, 3.280000, -1.540000, -0.103333, 0.088889, 0.610000, 3.050000, 1.050000, 9.250000, 192.187500, 18.125000, -6.500000, 0.230000, 2.510000, 1.420000, -0.476644, -0.297778, 0.568889, -1.530000, -8.060000, 5.360000, 192.187500, 18.125000, -6.500000
127, 0.210000, 3.330000, -1.020000, -0.367778, 0.310000, 0.993333, 3.020000, 0.940000, 9.280000, 191.250000, 17.937500, -5.812500, 0.310000, 1.730000, 1.250000, -0.728889, -0.347778, 0.770000, -1.650000, -8.130000, 5.210000, 190.625000, 17.812500, -5.375000
147, 0.250000, 2.690000, -1.210000, -0.444444, 0.312222, 1.222222, 2.980000, 0.800000, 9.300000, 190.000000, 17.687500, -4.937500, 0.320000, 1.400000, 0.910000, -0.942222, -0.442222, 0.824444, -1.690000, -8.160000, 5.150000, 190.000000, 17.687500, -4.937500
168, -0.030000, 0.760000, -0.470000, -0.516667, 0.354444, 1.334444, 2.940000, 0.630000, 9.330000, 188.625000, 17.437500, -3.812500, 0.360000, 0.470000, -0.270000, -1.075556, -0.500000, 0.873333, -1.780000, -8.240000, 5.000000, 187.937500, 17.312500, -3.250000
